"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"W25XL7TN","webpage","","","Linee guida nazionali per la valorizzazione del patrimonio informativo pubblico","Docs Italia","","","","https://docs.italia.it/italia/daf/lg-patrimonio-pubblico/it/stabile/index.html","Questo documento rappresenta le linee guida per la valorizzazione del patrimonio informativo pubblico per l’anno 2017 pubblicate dall’Agenzia per l’Italia Digitale.","","2022-02-11 17:58:14","2022-02-12 08:55:03","2022-02-11 17:58:14","","","","","","","","","","","","","","it","","","","","","","","","C:\Users\aborr\Zotero\storage\ZCQFGRL9\index.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3FJM5594","webpage","","","ISO/IEC 25012 | SQuaRE: requisiti della qualità di sistemi e valutazione di prodotti","ISO/IEC 25000","","","","http://www.iso25000.it/styled-19/index.html","","","2022-02-11 18:13:07","2022-02-11 18:13:41","2022-02-11 18:13:07","","","","","","","","","","","","","","it","","","","","","","","","C:\Users\aborr\Zotero\storage\89XPV6IU\styled-19.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPY4YVQW","webpage","","","DECRETO LEGISLATIVO 24 gennaio 2006, n. 36 - Attuazione della direttiva (UE) 2019/1024 relativa all'apertura dei dati e al riutilizzo dell'informazione del settore pubblico che ha abrogato la direttiva 2003/98/CE","","","","","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2006-01-24;36!vig","","","2022-02-11 18:15:54","2022-02-11 18:16:27","2022-02-11 18:15:54","","","","","","","","","","","","","","","","","","","","","","","C:\Users\aborr\Zotero\storage\IJVA7ANE\N2Ls.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F7Q274HM","webpage","","","FAIR Cookbook","","","","","https://fairplus.github.io/the-fair-cookbook/content/home.html","FAIR Cookbook      Created by researchers and data managers professionals, the FAIR Cookbook is an online resource for the Life Sciences with recipes that help","","2022-02-11 18:19:59","2022-02-11 18:19:59","2022-02-11 18:19:59","","","","","","","","","","","","","","","","","","","","","","","C:\Users\aborr\Zotero\storage\6TNIJAMN\home.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LRBZS2D","bill","2019","","Direttiva (UE) 2019/1024 del Parlamento europeo e del Consiglio, del 20 giugno 2019, relativa all'apertura dei dati e al riutilizzo dell'informazione del settore pubblico","","","","","http://data.europa.eu/eli/dir/2019/1024/oj/ita","","2019-06-20","2022-02-11 18:22:16","2022-02-11 18:22:16","2022-02-11 18:22:16","","","","172","","","","","","","","","","it","","","","","","","","","C:\Users\aborr\Zotero\storage\CC8SNENQ\2019 - Direttiva (UE) 20191024 del Parlamento europeo e .pdf; C:\Users\aborr\Zotero\storage\9HEPSKLB\HTML.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OJ L","","","","","","EP, CONSIL"
"6M7GE6PR","webpage","","","DECRETO LEGISLATIVO 7 marzo 2005, n. 82 - Codice dell'Amministrazione Digitale","","","","","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2005-03-07;82!vig","","","2022-02-11 18:28:49","2022-02-11 18:29:27","2022-02-11 18:28:49","","","","","","","","","","","","","","","","","","","","","","","C:\Users\aborr\Zotero\storage\4GH5446C\N2Ls.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IIF73S3D","webpage","","","Defining Open in Open Data, Open Content and Open Knowledge","","","","","https://opendefinition.org/od/2.0/it/","","","2022-02-12 08:08:54","2022-02-12 08:55:31","2022-02-12 08:08:54","","","","","","","","","","","","","","","","","","","","","","","C:\Users\aborr\Zotero\storage\4FFQXLDM\it.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
